METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ
"DEbest","ackley",2,5,780,35,0.000011
"DEbest","ackley",2,5,800,36,0.000009
"DEbest","ackley",2,5,820,37,0.000009
"DEbest","ackley",2,5,840,38,0.000005
"DEbest","ackley",2,5,860,39,0.000005
"DEbest","ackley",2,5,880,40,0.000004
"DEbest","ackley",2,5,900,41,0.000003
"DEbest","ackley",2,5,920,42,0.000001
"DEbest","ackley",2,5,940,43,0.000001
"DEbest","ackley",2,5,960,44,0.000001
"DEbest","ackley",2,5,980,45,0.000000
"DEbest","ackley",2,5,1000,46,0.000000
"DEbest","ackley",5,1,100,1,18.156913
"DEbest","ackley",5,1,120,2,14.155123
"DEbest","ackley",5,1,140,3,14.155123
"DEbest","ackley",5,1,160,4,11.677887
"DEbest","ackley",5,1,180,5,10.285598
"DEbest","ackley",5,1,200,6,8.662218
"DEbest","ackley",5,1,220,7,7.880627
"DEbest","ackley",5,1,240,8,7.512446
"DEbest","ackley",5,1,260,9,4.860565
"DEbest","ackley",5,1,280,10,3.791221
"DEbest","ackley",5,1,300,11,3.650318
"DEbest","ackley",5,1,320,12,3.650318
"DEbest","ackley",5,1,340,13,3.650318
"DEbest","ackley",5,1,360,14,3.650318
"DEbest","ackley",5,1,380,15,3.650318
"DEbest","ackley",5,1,400,16,3.650318
"DEbest","ackley",5,1,420,17,3.650318
"DEbest","ackley",5,1,440,18,3.506128
"DEbest","ackley",5,1,460,19,3.180748
"DEbest","ackley",5,1,480,20,3.180748
"DEbest","ackley",5,1,500,21,1.914801
"DEbest","ackley",5,1,520,22,1.914801
"DEbest","ackley",5,1,540,23,1.914801
"DEbest","ackley",5,1,560,24,1.702678
"DEbest","ackley",5,1,580,25,0.275076
"DEbest","ackley",5,1,600,26,0.275076
"DEbest","ackley",5,1,620,27,0.275076
"DEbest","ackley",5,1,640,28,0.275076
"DEbest","ackley",5,1,660,29,0.275076
"DEbest","ackley",5,1,680,30,0.087437
"DEbest","ackley",5,1,700,31,0.087437
"DEbest","ackley",5,1,720,32,0.087437
"DEbest","ackley",5,1,740,33,0.087437
"DEbest","ackley",5,1,760,34,0.087437
"DEbest","ackley",5,1,780,35,0.064912
"DEbest","ackley",5,1,800,36,0.064912
"DEbest","ackley",5,1,820,37,0.048868
"DEbest","ackley",5,1,840,38,0.046340
"DEbest","ackley",5,1,860,39,0.034588
"DEbest","ackley",5,1,880,40,0.034588
"DEbest","ackley",5,1,900,41,0.028810
"DEbest","ackley",5,1,920,42,0.019216
"DEbest","ackley",5,1,940,43,0.019216
"DEbest","ackley",5,1,960,44,0.016537
"DEbest","ackley",5,1,980,45,0.011207
"DEbest","ackley",5,1,1000,46,0.009124
"DEbest","ackley",5,1,1020,47,0.006964
"DEbest","ackley",5,1,1040,48,0.005986
"DEbest","ackley",5,1,1060,49,0.005986
"DEbest","ackley",5,1,1080,50,0.004668
"DEbest","ackley",5,1,1100,51,0.003830
"DEbest","ackley",5,1,1120,52,0.003830
"DEbest","ackley",5,1,1140,53,0.003136
"DEbest","ackley",5,1,1160,54,0.003136
"DEbest","ackley",5,1,1180,55,0.001245
"DEbest","ackley",5,1,1200,56,0.001245
"DEbest","ackley",5,1,1220,57,0.001245
"DEbest","ackley",5,1,1240,58,0.001165
"DEbest","ackley",5,1,1260,59,0.001113
"DEbest","ackley",5,1,1280,60,0.001113
"DEbest","ackley",5,1,1300,61,0.001000
"DEbest","ackley",5,1,1320,62,0.000346
"DEbest","ackley",5,1,1340,63,0.000346
"DEbest","ackley",5,1,1360,64,0.000346
"DEbest","ackley",5,1,1380,65,0.000346
"DEbest","ackley",5,1,1400,66,0.000346
"DEbest","ackley",5,1,1420,67,0.000287
"DEbest","ackley",5,1,1440,68,0.000281
"DEbest","ackley",5,1,1460,69,0.000146
"DEbest","ackley",5,1,1480,70,0.000120
"DEbest","ackley",5,1,1500,71,0.000120
"DEbest","ackley",5,1,1520,72,0.000120
"DEbest","ackley",5,1,1540,73,0.000083
"DEbest","ackley",5,1,1560,74,0.000083
"DEbest","ackley",5,1,1580,75,0.000068
"DEbest","ackley",5,1,1600,76,0.000053
"DEbest","ackley",5,1,1620,77,0.000043
"DEbest","ackley",5,1,1640,78,0.000035
"DEbest","ackley",5,1,1660,79,0.000021
"DEbest","ackley",5,1,1680,80,0.000021
"DEbest","ackley",5,1,1700,81,0.000021
"DEbest","ackley",5,1,1720,82,0.000021
"DEbest","ackley",5,1,1740,83,0.000021
"DEbest","ackley",5,1,1760,84,0.000018
"DEbest","ackley",5,1,1780,85,0.000014
"DEbest","ackley",5,1,1800,86,0.000013
"DEbest","ackley",5,1,1820,87,0.000013
"DEbest","ackley",5,1,1840,88,0.000009
"DEbest","ackley",5,1,1860,89,0.000008
"DEbest","ackley",5,1,1880,90,0.000006
"DEbest","ackley",5,1,1900,91,0.000006
"DEbest","ackley",5,1,1920,92,0.000005
"DEbest","ackley",5,1,1940,93,0.000005
"DEbest","ackley",5,1,1960,94,0.000004
"DEbest","ackley",5,1,1980,95,0.000003
"DEbest","ackley",5,1,2000,96,0.000003
"DEbest","ackley",5,2,100,1,17.618991
"DEbest","ackley",5,2,120,2,16.080721
"DEbest","ackley",5,2,140,3,15.001290
"DEbest","ackley",5,2,160,4,13.101305
"DEbest","ackley",5,2,180,5,11.721264
"DEbest","ackley",5,2,200,6,11.721264
"DEbest","ackley",5,2,220,7,8.225195
"DEbest","ackley",5,2,240,8,8.225195
"DEbest","ackley",5,2,260,9,8.225195
"DEbest","ackley",5,2,280,10,8.225195
"DEbest","ackley",5,2,300,11,7.642532
"DEbest","ackley",5,2,320,12,7.642532
"DEbest","ackley",5,2,340,13,7.642532
"DEbest","ackley",5,2,360,14,6.651297
"DEbest","ackley",5,2,380,15,5.211926
"DEbest","ackley",5,2,400,16,5.211926
